endereco_tse,cep,Logradouro,Tipo Logradouro,id_bairro
"RUA CORONEL JOSÉ LÚCIO JUNQUEIRA, 43",37430000,RUA CORONEL JOSÉ LÚCIO JUNQUEIRA,RUA,60
RUA DOUTOR AGRIPINO ALMEIDA S/N,55765000,RUA DOUTOR AGRIPINO ALMEIDA S/N,RUA,21
"RUA LUIZ FACCINI,344 - PRIMEIRO ANDAR",7110000,RUA LUIZ FACCINI,RUA,20
"RUA ALBINO RODRIGUES NEVES, 301",7401125,RUA ALBINO RODRIGUES NEVES,RUA,47
RUA ASSIS CARNEIRO 436,20740260,RUA ASSIS CARNEIRO 436,RUA,39
"PRAÇA MAÇONARIA, S/N",18040295,PRAÇA MAÇONARIA,PRAÇA,9
"RUA BELÉM, 106",68170000,RUA BELÉM,RUA,94
"RUA JOSE SCHOLTZ  NÚMERO 201, ESQUINA COM OSÓRIO ALVES",85570000,RUA JOSE SCHOLTZ  NÚMERO 201,RUA,55
"PRAÇA FRANCISCO AVELINO TOLEDO LIMA, S/N",37580000,PRAÇA FRANCISCO AVELINO TOLEDO LIMA,PRAÇA,43
"RUA DR. JACINTO ÁLVARES, 09.",35650000,RUA DR. JACINTO ÁLVARES,RUA,69
"RUA CEL. SERAFIM PEREIRA, 197",37445000,RUA CEL. SERAFIM PEREIRA,RUA,71
"RUA MARECHAL DEODORO DA FONSECA, 530",13230130,RUA MARECHAL DEODORO DA FONSECA,RUA,81
RUA JOAO VICENTE 1545 A,21610210,RUA JOAO VICENTE 1545 A,RUA,48
"RUA PRESIDENTE VARGAS, 252",36820000,RUA PRESIDENTE VARGAS,RUA,74
"RUA URUGUAI, 1381 - ED. FÓRUM",96300000,RUA URUGUAI,RUA,69
"RUA CONDE DE BAEPENDI, 40",22231140,RUA CONDE DE BAEPENDI,RUA,34
"RUA DOUTOR EZEQUIEL DE BARROS, SN (FORUM DE ESCADA)",55500000,RUA DOUTOR EZEQUIEL DE BARROS,RUA,81
"PRAÇA EPITACIO PESSOA, 02, CENTRO",58360000,PRAÇA EPITACIO PESSOA,PRAÇA,9
"RUA PARANAPANEMA, 1818-S,",78455000,RUA PARANAPANEMA,RUA,93
"RUA CONCESSO BARBOSA, 07, CENTRO",35150000,RUA CONCESSO BARBOSA,RUA,98
"RUA JOÃO JOSÉ DO ROSÁRIO, S/N, NAÇÃO POÇO VERDE/SE",49490000,RUA JOÃO JOSÉ DO ROSÁRIO,RUA,89
"RUA ANTONIO CIA, 391",13477450,RUA ANTONIO CIA,RUA,37
RUA CORONEL ALCANTARA S/N,57995000,RUA CORONEL ALCANTARA S/N,RUA,50
"RUA SÃO PEDRO, 126",56720000,RUA SÃO PEDRO,RUA,96
RUA ANTONIO BASILIO 76,20511190,RUA ANTONIO BASILIO 76,RUA,37
"RUA EXPEDICIONÁRIO PAULO MOREIRA, 67",28360000,RUA EXPEDICIONÁRIO PAULO MOREIRA,RUA,69
"RUA EDUARDO VIEIRA, 112",24445410,RUA EDUARDO VIEIRA,RUA,12
"RUA JOÃO BARBOSA DA FONSECA, 58",33200000,RUA JOÃO BARBOSA DA FONSECA,RUA,24
"RUA PRESIDENTE KENNEDY, 40",35450000,RUA PRESIDENTE KENNEDY,RUA,1
"PRAÇA TRÊS PODERES, S/N, FÓRUM, SALA 105",35160011,PRAÇA TRÊS PODERES,PRAÇA,99
"RUA SÃO PAULO, 2305",79490000,RUA SÃO PAULO,RUA,71
"RUA ONILDO TAVEIRA, 143, EDIFÍCIO DO FÓRUM",78780000,RUA ONILDO TAVEIRA,RUA,77
"RUA JOAQUIM SAMPAIO, 2012",56000000,RUA JOAQUIM SAMPAIO,RUA,18
"RUA CÔNEGO NICODEMOS, 16",57490000,RUA CÔNEGO NICODEMOS,RUA,40
