endereco_tse,cep,Logradouro,Tipo Logradouro,id_bairro
"RUA CAPITÃO DANIEL DA CUNHA MORAIS, 685",15170000,RUA CAPITÃO DANIEL DA CUNHA MORAIS,RUA,19
"RUA CAPITÃO BERNARDINO SOUTO, 225",57160000,RUA CAPITÃO BERNARDINO SOUTO,RUA,55
RUA ALMERINDA RODRIGUES DOS SANTOS S/N ESQUINA COM A RUA MARANHÃO,86610000,RUA ALMERINDA RODRIGUES DOS SANTOS S/N ESQUINA COM A RUA MARANHÃO,RUA,95
"RUA CORONEL COSTA NUNES, 346",57660000,RUA CORONEL COSTA NUNES,RUA,41
"RUA PADRE DAMASO, 26",6016010,RUA PADRE DAMASO,RUA,82
RUA DIAS DA CRUZ 787 - SEGUNDO ANDAR,20720011,RUA DIAS DA CRUZ 787 - SEGUNDO ANDAR,RUA,46
RUA MINISTRO TAVARES DE LIRA 128,22221060,RUA MINISTRO TAVARES DE LIRA 128,RUA,43
"RUA DAS OLIVEIRAS, 912",85460000,RUA DAS OLIVEIRAS,RUA,40
"RUA JUVENAL DE CAMPOS, 327",18270330,RUA JUVENAL DE CAMPOS,RUA,21
"RUA PEDRO CANEPA, 132",26600000,RUA PEDRO CANEPA,RUA,21
"RUA VITAL BRASIL, 50",37400000,RUA VITAL BRASIL,RUA,36
"RUA DR. JOAQUIM NABUCO, 114 (CONHECIDA COMO RUA DO ROSÁRIO)",54735790,RUA DR. JOAQUIM NABUCO,RUA,25
"RUA MANATÁ, 690 SALA 104A (FORUM)- PRINCESA ISABEL",94940190,RUA MANATÁ,RUA,34
"RUA IRMA DULCE, 31",46190000,RUA IRMA DULCE,RUA,61
RUA MARECHAL DEODORO N. 274,96400400,RUA MARECHAL DEODORO N. 274,RUA,27
"RUA MATO GROSSO ESQUINA COM AVENIDA CASTELO BRANCO, N. 1444",77780000,RUA MATO GROSSO ESQUINA COM AVENIDA CASTELO BRANCO,RUA,34
"RUA VENANCIO AIRES, 2470",98740000,RUA VENANCIO AIRES,RUA,25
"RUA JOÃO LUIZ DAFLON, 65 - TÉRREO",28550000,RUA JOÃO LUIZ DAFLON,RUA,26
"RUA LADISLAU GALVAO, 187",59400000,RUA LADISLAU GALVAO,RUA,79
"RUA VISCONDE DE SEPETIBA 987 FUNDOS 2 ANDAR CENTRO, NITEROI/RJ",24020206,RUA VISCONDE DE SEPETIBA 987 FUNDOS 2 ANDAR CENTRO,RUA,4
"RUA FIGUEIREDO CAMARGO, 1.133 - SALA 202",21870210,RUA FIGUEIREDO CAMARGO,RUA,96
"PRAÇA DOUTOR BENEDITO VALADARES, 220",39530000,PRAÇA DOUTOR BENEDITO VALADARES,PRAÇA,85
"RUA SETE DE SETEMBRO, N. 136",55800000,RUA SETE DE SETEMBRO,RUA,4
"PRAÇA GASPAR DE PAIVA MAGALHÃES, 25",37520000,PRAÇA GASPAR DE PAIVA MAGALHÃES,PRAÇA,65
"RUA 60, ÁREA ESPECIAL N.6, PRAIA DOS AMORES",72871060,RUA 60,RUA,80
"PRAÇA JOAQUIM NABUCO, N. 74, CENTRO, PAUDALHO",55825000,PRAÇA JOAQUIM NABUCO,PRAÇA,10
"RUA DES. MANOEL PEREIRA, S/N",45480000,RUA DES. MANOEL PEREIRA,RUA,56
"RUA VEREADOR HENRIQUE SOLER, 279",11030111,RUA VEREADOR HENRIQUE SOLER,RUA,44
RUA REBOUCAS N 685  EDIFICIO DO FORUM,76270000,RUA REBOUCAS N 685  EDIFICIO DO FORUM,RUA,50
"RUA MARIA BRASILEIRA, 106",59324000,RUA MARIA BRASILEIRA,RUA,57
"RUA PRESIDENTE COSTA E SILVA, 410",78420000,RUA PRESIDENTE COSTA E SILVA,RUA,79
RUA 24 DE MAIO 931 - FUNDOS,20950091,RUA 24 DE MAIO 931 - FUNDOS,RUA,38
"RUA ANITA GARIBALDI, 821",18682043,RUA ANITA GARIBALDI,RUA,50
"RUA ERNESTO WAGNER, 233",97400000,RUA ERNESTO WAGNER,RUA,14
"TRAVESSA CORONEL CASSEMIRO,79-FÓRUM FLÁVIO DA ROSA MELO",49514970,TRAVESSA CORONEL CASSEMIRO,TRAVESSA,82
"RUA LOEFGREEN, 2007",4040033,RUA LOEFGREEN,RUA,71
"RUA RODOLFO MACHADO BORGES, 299",38022050,RUA RODOLFO MACHADO BORGES,RUA,19
"RUA SAO ROQUE, 210, CENTRO",58755000,RUA SAO ROQUE,RUA,33
"RUA BELCHIOR, 260",35350000,RUA BELCHIOR,RUA,78
"RUA 22 DE ABRIL, 481",46900000,RUA 22 DE ABRIL,RUA,86
"RUA GERALDO FELIX DA MOTA, 48",37530000,RUA GERALDO FELIX DA MOTA,RUA,26
"PRAÇA MAL. DEODORO DA FONSECA, S/N",64525000,PRAÇA MAL. DEODORO DA FONSECA,PRAÇA,67
RUA ANTONIO GONZAGA S/N,58970000,RUA ANTONIO GONZAGA S/N,RUA,1
"PRAÇA DES. OSWALDO NUNES SENTO SÉ, S/N",47900000,PRAÇA DES. OSWALDO NUNES SENTO SÉ,PRAÇA,15
"RUA BORGES DE MEDEIROS, 2099 - SALA 11",95270000,RUA BORGES DE MEDEIROS,RUA,54
RUA ARGEMIRO DE PAULA COUTINHO N 2000 - EDIFICIO DO FORUM,27310020,RUA ARGEMIRO DE PAULA COUTINHO N 2000 - EDIFICIO DO FORUM,RUA,62
"RUA VER. MAN0EL HONÓRIO DE BRITO, 831, QD. 73.",62184000,RUA VER. MAN0EL HONÓRIO DE BRITO,RUA,84
"RUA HADDOCK LOBO, 72 - SALA 106",20260132,RUA HADDOCK LOBO,RUA,92
"RUA FRANCISCO DE VASCONCELOS, 125",38525000,RUA FRANCISCO DE VASCONCELOS,RUA,81
"RUA CORONEL JOAQUIM ALBERTO, 10",14350000,RUA CORONEL JOAQUIM ALBERTO,RUA,35
"RUA JOÃO DA MOTA, 461",79420000,RUA JOÃO DA MOTA,RUA,45
"RUA XX DE AGOSTO, 234",14200000,RUA XX DE AGOSTO,RUA,2
"PRAÇA PROFESSOR ANTÔNIO ARGINO, 120",11600000,PRAÇA PROFESSOR ANTÔNIO ARGINO,PRAÇA,100
RUA BARAO DE MADALENA 50 SALA 01 SOBRELOJA,28770000,RUA BARAO DE MADALENA 50 SALA 01 SOBRELOJA,RUA,8
"RUA ERNESTO ALVES, 760",96810144,RUA ERNESTO ALVES,RUA,97
"TRAVESSA DA LIBERDADE, S/N",65800000,TRAVESSA DA LIBERDADE,TRAVESSA,54
"RUA DAVID BUENO, 48",37600000,RUA DAVID BUENO,RUA,34
"RUA TICO TICO, N 1001 - FORUM ELEITORAL",86707020,RUA TICO TICO,RUA,43
"PRAÇA AGAMENON MAGALHÃES, 300",55770000,PRAÇA AGAMENON MAGALHÃES,PRAÇA,38
"RUA ANGATUBA, 320",9210250,RUA ANGATUBA,RUA,42
RUA GETÚLIO VARGAS 208 CENTRO,64855000,RUA GETÚLIO VARGAS 208 CENTRO,RUA,10
"RODOVIA GO-239 ESQ.C/ AV.JESUS DE NAZARÉ, EDIFÍCIO DO FÓRUM",76490000,RODOVIA GO-239 ESQ.C/ AV.JESUS DE NAZARÉ,RODOVIA,52
"RUA NILZA FERRAZ RIBEIRO, N. 400",79200000,RUA NILZA FERRAZ RIBEIRO,RUA,38
"RUA IBIPORA, 270",86770000,RUA IBIPORA,RUA,50
"RUA XAVIER ROLIM, 100",35790000,RUA XAVIER ROLIM,RUA,72
"RUA PADRE QUILIANO, 57, CENTRO",62770000,RUA PADRE QUILIANO,RUA,22
"RUA ITÁLIA, N. 319 (ESQUINA COM RUA MACEDÔNIA)",83823020,RUA ITÁLIA,RUA,82
RUA CAPITAO TELES 522 LOJA,26551190,RUA CAPITAO TELES 522 LOJA,RUA,94
"RUA MARIA FRANCISCA DA SILVA,39",55190000,RUA MARIA FRANCISCA DA SILVA,RUA,19
"RUA ULISSES CARMO, 321",64130000,RUA ULISSES CARMO,RUA,41
"RUA FERREIRA DE ARAÚJO, 538",5428001,RUA FERREIRA DE ARAÚJO,RUA,75
"RUA PEDRO NOLASCO, 506",35170300,RUA PEDRO NOLASCO,RUA,69
RUA VALDEMAR IGNOWSKI 62/66,13460000,RUA VALDEMAR IGNOWSKI 62/66,RUA,79
"RUA IGUAÇU, 589",16901165,RUA IGUAÇU,RUA,39
"RUA AZARIAS BELCHIOR, 855",64875000,RUA AZARIAS BELCHIOR,RUA,39
"RUA COSTA E SILVA, 530",64720000,RUA COSTA E SILVA,RUA,58
"RUA VOLUNTÁRIOS DA PÁTRIA, 1404, LOJA 1B",95800000,RUA VOLUNTÁRIOS DA PÁTRIA,RUA,31
"RUA PADRE CIRILO, 199 - FÓRUM ELEITORAL",85760000,RUA PADRE CIRILO,RUA,58
"RUA DALMO COELHO GOMES, N 1, SALA 311, PRÉDIO DO FÓRUM",28680000,RUA DALMO COELHO GOMES,RUA,72
"RUA ANTÔNIO MARTINS DUTRA, N. 1521",79990000,RUA ANTÔNIO MARTINS DUTRA,RUA,35
"RUA CARLOS DE CAMPOS, 260 - FÓRUM",14580000,RUA CARLOS DE CAMPOS,RUA,14
"RUA JOSÉ PEREIRA DA SILVA, 373",79550000,RUA JOSÉ PEREIRA DA SILVA,RUA,55
"RUA GOVERNADOR VALADARES, 454 (TRAVESSA), CASA 7",28909010,RUA GOVERNADOR VALADARES,RUA,71
"RUA CEL. JOÃO CÂNCIO, 07 - CENTRO (8H AS 13H)",68655000,RUA CEL. JOÃO CÂNCIO,RUA,91
"RUA BONIFÁCIO CUBAS, 567",2731000,RUA BONIFÁCIO CUBAS,RUA,92
"RUA CORONEL AMARO ACELINO DE ANDRADE, 17",36893000,RUA CORONEL AMARO ACELINO DE ANDRADE,RUA,34
"RUA ELPÍDIO GOMES, 1284",14160620,RUA ELPÍDIO GOMES,RUA,6
"RUA ESTÊVÃO PINTO, N 56",36640000,RUA ESTÊVÃO PINTO,RUA,26
"TRAVESSA MIRAMBAVA, 118",8674130,TRAVESSA MIRAMBAVA,TRAVESSA,16
"RUA BARÃO DO RIO BRANCO, 51, CENTRO",57290000,RUA BARÃO DO RIO BRANCO,RUA,66
"RUA SETE DE FEVEREIRO, 885",15801160,RUA SETE DE FEVEREIRO,RUA,88
"RUA PRESIDENTE VARGAS, 661",15150000,RUA PRESIDENTE VARGAS,RUA,74
"RUA D. PEDRO I, ESQUINA C/ JOSE BONIFACIO",75460000,RUA D. PEDRO I,RUA,57
"RUA PROFESSORA EDITE MOTA, 201",62670000,RUA PROFESSORA EDITE MOTA,RUA,35
"RUA NAGIB MILEIB, 265",35557000,RUA NAGIB MILEIB,RUA,50
"RUA SETE DE SETEMBRO, 957",14960000,RUA SETE DE SETEMBRO,RUA,80
"RUA ALCINDO VIEIRA, 67",30640100,RUA ALCINDO VIEIRA,RUA,13
"RUA FRANCISCO VIEIRA CAVALCANTE, 115",63630000,RUA FRANCISCO VIEIRA CAVALCANTE,RUA,26
"RUA LEONARDO ARAUJO, S/N",62200000,RUA LEONARDO ARAUJO,RUA,19
"RUA CEL. ANTÔNIO BORGES DO AMARAL, 525",39705000,RUA CEL. ANTÔNIO BORGES DO AMARAL,RUA,3
"RUA CAPITÃO SANCHO, 615",38770000,RUA CAPITÃO SANCHO,RUA,16
RUA JOÃO GASK CABRERA,85830000,RUA JOÃO GASK CABRERA,RUA,83
"RUA OTÁVIO TEIXEIRA BARBOSA, 51 - CENTRO",37795000,RUA OTÁVIO TEIXEIRA BARBOSA,RUA,3
RUA DES. ANTONIO F. F. DA COSTA - 3585 - CENTRO CIVICO,87501200,RUA DES. ANTONIO F. F. DA COSTA - 3585 - CENTRO CIVICO,RUA,78
"RUA FIGUEIREDO CAMARGO, 1133, SALA 203",21870210,RUA FIGUEIREDO CAMARGO,RUA,97
"RUA PEDRO ÁLVARES CABRAL, 38 - FÓRUM",78530000,RUA PEDRO ÁLVARES CABRAL,RUA,96
"RUA TUPINAMBÁS, 44",35473000,RUA TUPINAMBÁS,RUA,16
"RODOVIA GO-210, KM 1, SETOR INDUSTRIAL",75740000,RODOVIA GO-210,RODOVIA,35
"RUA JOÃO CARLOS GASPAROTTO, 185",95190000,RUA JOÃO CARLOS GASPAROTTO,RUA,13
"RUA FERNANDO CORREA DA COSTA, 253",78700100,RUA FERNANDO CORREA DA COSTA,RUA,2
"PRAÇA SETE DE SETEMBRO, 200, SALA 105",38200000,PRAÇA SETE DE SETEMBRO,PRAÇA,86
"RUA SILVA JARDIM, 609 - TÉRREO",96570000,RUA SILVA JARDIM,RUA,31
"RUA RAMALHO PINTO, 37",36130000,RUA RAMALHO PINTO,RUA,88
"RUA PROF. LEONEL AMORIM, S/N",65485000,RUA PROF. LEONEL AMORIM,RUA,70
"RUA SANTOS FILHO, 394 - SALA 01",95900000,RUA SANTOS FILHO,RUA,73
"PRAÇA VICTOR KONDER, N. 60, CENTRO",89010150,PRAÇA VICTOR KONDER,PRAÇA,86
"RUA SARGENTO COELHO, N. 145",39570000,RUA SARGENTO COELHO,RUA,87
RUA CABO LEONCIO - 102,35290000,RUA CABO LEONCIO - 102,RUA,25
"RODOVIA DARCY MARINHO, S/N",77920000,RODOVIA DARCY MARINHO,RODOVIA,40
"PRAÇA SÃO FRANCISCO DE ASSIS, S/N, FORUM DA COMARCA DE ANDARAÍ",46830000,PRAÇA SÃO FRANCISCO DE ASSIS,PRAÇA,95
"PRAÇA TOVAL DA COSTA SAMPAIO, 71",39230000,PRAÇA TOVAL DA COSTA SAMPAIO,PRAÇA,28
"RUA HELVERCIO PINHEIRO, S/N, BAIRRO SÃO PEDRO",64900000,RUA HELVERCIO PINHEIRO,RUA,14
"PRAÇA DES. ALOÍSIO DE ABREU LIMA, S/N, FÓRUM ELEITORAL",49600000,PRAÇA DES. ALOÍSIO DE ABREU LIMA,PRAÇA,86
"RUA JOAO PAROLIN, 55",80220290,RUA JOAO PAROLIN,RUA,79
"RUA AUGUSTO DE LIMA, QUADRA 06 LOTE 03",75080850,RUA AUGUSTO DE LIMA,RUA,14
"RUA PERNAMBUCO, 338",14600000,RUA PERNAMBUCO,RUA,54
"RUA SIMPLICIANO FARIAS, 1445 - CARTÓRIO ELEITORAL - 8H AS 14H",68330000,RUA SIMPLICIANO FARIAS,RUA,16
"RUA AQUARIQUARA,3631",76872856,RUA AQUARIQUARA,RUA,1
"RUA SIDÔNIO PAES, 54 LOJA 06",21350032,RUA SIDÔNIO PAES,RUA,90
"RUA DUQUE DE CAXIAS, 451",68915000,RUA DUQUE DE CAXIAS,RUA,29
"RUA SÃO JOSÉ, 10, ED. FÓRUM",89896000,RUA SÃO JOSÉ,RUA,2
"RUA LOURIVAL RAMOS, S/N",58590000,RUA LOURIVAL RAMOS,RUA,39
"RUA DR. JOÃO ADOLFO STEIN, 171",13360000,RUA DR. JOÃO ADOLFO STEIN,RUA,85
"RUA BARÃO DO RIO BRANCO, 281",64170000,RUA BARÃO DO RIO BRANCO,RUA,36
"RUA DR ALFREDO DE CARVALHO PINTO, 259, PRÉDIO 2",13960000,RUA DR ALFREDO DE CARVALHO PINTO,RUA,7
"RUA MESTRE MARCULINO, N. 280",64960000,RUA MESTRE MARCULINO,RUA,22
"RUA NEREU RAMOS, 400",85877000,RUA NEREU RAMOS,RUA,62
"RUA DAVID FARAH, 25",6850845,RUA DAVID FARAH,RUA,30
"RUA QUATRO DE ABRIL, 791",68193000,RUA QUATRO DE ABRIL,RUA,5
"RUA RIO GRANDE DO SUL, S/N - FÓRUM ELEITORAL",87900000,RUA RIO GRANDE DO SUL,RUA,100
"RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180",79037106,RUA DELEGADO JOSÉ ALFREDO HARDMAN,RUA,49
RUA FRANCISCO DE ALMEIDA S/N,87111650,RUA FRANCISCO DE ALMEIDA S/N,RUA,63
"RUA JOÃO LOPES FERREIRA, S/N - CENTRO",57820000,RUA JOÃO LOPES FERREIRA,RUA,59
"RUA 2850, N. 470, ED. SAN SALVATORE",88330363,RUA 2850,RUA,82
"RUA JOAO PAROLIN, 55",80220290,RUA JOAO PAROLIN,RUA,76
"RUA MÁXIMO BALDO, 54",18043010,RUA MÁXIMO BALDO,RUA,10
"RUA TIRADENTES, 713",95770000,RUA TIRADENTES,RUA,53
"RUA DA ESTRELA, S/N, ENTRE XAVIER PACHECO E TRAV ESTRELA 8H AS 13H",68738000,RUA DA ESTRELA,RUA,22
"RUA FRANCISCO DE PAULA CARVALHO, 41",17250000,RUA FRANCISCO DE PAULA CARVALHO,RUA,55
"RUA NOSSA SENHORA DO PERPETUO SOCORRO,1660",68990000,RUA NOSSA SENHORA DO PERPETUO SOCORRO,RUA,31
"RUA EUMÊNIA DE OLIVEIRA GONÇALVES, S/N",55655000,RUA EUMÊNIA DE OLIVEIRA GONÇALVES,RUA,78
"RUA JOÃO PESSOA , 168",58125000,RUA JOÃO PESSOA ,RUA,85
"RUA DR. JOÃO FÁBIO DE ANDRADE, 1884",69830000,RUA DR. JOÃO FÁBIO DE ANDRADE,RUA,42
"RUA CEL MANOEL IZIDRO DA SILVA, S/N - 8H AS 15H",68825000,RUA CEL MANOEL IZIDRO DA SILVA,RUA,3
"RUA FRANCISCO PIMENTEL, 38",57930000,RUA FRANCISCO PIMENTEL,RUA,61
RUA FLORIANO PEIXOTO 242,69820000,RUA FLORIANO PEIXOTO 242,RUA,27
"RUA DONA ROZA OENNING, S/N, SALTO DO LONTRA/PR",85670000,RUA DONA ROZA OENNING,RUA,49
"RUA VENÂNCIO AIRES, 688, SALA 103",99500000,RUA VENÂNCIO AIRES,RUA,38
"PRAÇA PEDRO JOSÉ DE AQUINO, S/N",47740000,PRAÇA PEDRO JOSÉ DE AQUINO,PRAÇA,87
"RUA HELVIDIO NUNES, 40",64565000,RUA HELVIDIO NUNES,RUA,33
"RUA CAMPO FORMOSO, 50, LOTEAMENTO SONHO VERDE",59156745,RUA CAMPO FORMOSO,RUA,51
"RUA 2, N 79",55890000,RUA 2,RUA,55
"RUA SÃO FRANCISCO, 140",16300000,RUA SÃO FRANCISCO,RUA,91
"PRAÇA DA BANDEIRA, N 27, CENTRO",54800000,PRAÇA DA BANDEIRA,PRAÇA,3
"PRAÇA CORONEL POMPEU JÁCOME, 74",59680000,PRAÇA CORONEL POMPEU JÁCOME,PRAÇA,48
"RUA ITAPIRU, 174",4143010,RUA ITAPIRU,RUA,80
"PRAÇA DA MATRIZ, 154, SALA 01, CENTRO",95720000,PRAÇA DA MATRIZ,PRAÇA,56
PRAÇA CORONEL DURVAL DE BARROS 76,35940000,PRAÇA CORONEL DURVAL DE BARROS 76,PRAÇA,86
"PRAÇA MAJOR LULA GOMES, 39",59240000,PRAÇA MAJOR LULA GOMES,PRAÇA,80
"RUA CERQUEIRA CÉSAR, 333",14010130,RUA CERQUEIRA CÉSAR,RUA,24
"RUA PADRE BERNARDINO MEMORIA, 322",62380000,RUA PADRE BERNARDINO MEMORIA,RUA,94
"TRAVESSA MATRINCHÃ, S/N",69415000,TRAVESSA MATRINCHÃ,TRAVESSA,36
"RUA CORONEL RAIMUNDO FRANCISCO, 1402",62823000,RUA CORONEL RAIMUNDO FRANCISCO,RUA,6
"RUA RESPICIO JOSE DO NASCIMENTO, 519",59900000,RUA RESPICIO JOSE DO NASCIMENTO,RUA,68
"RUA JOSE DE MORAIS FEITOSA, S/N",63575000,RUA JOSE DE MORAIS FEITOSA,RUA,69
"RUA JOAO PAROLIN, 55",80220290,RUA JOAO PAROLIN,RUA,73
RUA 3 N. 05,75790000,RUA 3 N. 05,RUA,79
"RUA PADRE ANTÔNIO PINTO, S/N (FÓRUM JUSTIÇA ESTADUAL)",62760000,RUA PADRE ANTÔNIO PINTO,RUA,77
"RUA AMAZONAS, N. 214",79240000,RUA AMAZONAS,RUA,60
"RUA MARECHAL DEODORO, 861",13670000,RUA MARECHAL DEODORO,RUA,34
"RUA CORONEL JOAO PESSOA, 300, CENTRO",59920000,RUA CORONEL JOAO PESSOA,RUA,77
"RUA DONA EUGÊNIA, 330",78675000,RUA DONA EUGÊNIA,RUA,100
"PRAÇA PROFESSOR ANÉSIO CABRAL, 87",6226010,PRAÇA PROFESSOR ANÉSIO CABRAL,PRAÇA,83
"RUA OSVALDO DÁRIO DALL'IGNA, N. 794, SALA 2,",89980000,RUA OSVALDO DÁRIO DALL'IGNA,RUA,91
"RUA LUCENA, S/N,OLARIA (ANTIGO FÓRUM,ATRÁS DO CLUBE OLARIA) 21.021-320",21021320,RUA LUCENA,RUA,58
"PRAÇA TIRADENTES, 366, FÓRUM DES. SÁLVIO MARTINS",45300000,PRAÇA TIRADENTES,PRAÇA,94
"RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180",79037106,RUA DELEGADO JOSÉ ALFREDO HARDMAN,RUA,48
"RUA ADJALMA EPITÁCIO, S/N",58220000,RUA ADJALMA EPITÁCIO,RUA,92
"RUA 25 DE MARCO , 80",36160000,RUA 25 DE MARCO ,RUA,90
"RUA SAMUEL FURTADO, S/N",58175000,RUA SAMUEL FURTADO,RUA,4
"PRAÇA 31 DE MARÇO, S/N (FORUM)",58338000,PRAÇA 31 DE MARÇO,PRAÇA,27
"RUA VINTE E QUATRO DE JANEIRO, N. 243, CENTRO-NORTE.",64000080,RUA VINTE E QUATRO DE JANEIRO,RUA,60
"RUA BAHIA, 585",38660000,RUA BAHIA,RUA,29
"RUA TANCREDO DO AMARAL, 31 - PRIMEIRO ANDAR",9015430,RUA TANCREDO DO AMARAL,RUA,41
"RUA PEDRO BONESIO, 371",37410000,RUA PEDRO BONESIO,RUA,13
"RUA 14, 521",13500130,RUA 14,RUA,28
RUA CORONEL PINTO -  FORUM DE JUSTIÇA DE URUCARÁ,69130000,RUA CORONEL PINTO -  FORUM DE JUSTIÇA DE URUCARÁ,RUA,58
RUA MIGUEL LEMOS 97 - 3 ANDAR,22071000,RUA MIGUEL LEMOS 97 - 3 ANDAR,RUA,45
"RUA FLORIANO PEIXOTO, 417.",57270000,RUA FLORIANO PEIXOTO,RUA,51
"RUA DR. JOSÉ MONTAURY, 850 - SALA 101",95330000,RUA DR. JOSÉ MONTAURY,RUA,32
RUA VISCONDE DE SEPETIBA 987 FUNDOS 2 ANDAR,24020206,RUA VISCONDE DE SEPETIBA 987 FUNDOS 2 ANDAR,RUA,7
"RUA ARISTIDES GONCALVES DE SOUZA, 83",28250000,RUA ARISTIDES GONCALVES DE SOUZA,RUA,84
"RUA SÃO  PAULO, 653",37701012,RUA SÃO  PAULO,RUA,72
"RUA DOMINGOS DE ALMEIDA,65, CENTRO",27700000,RUA DOMINGOS DE ALMEIDA,RUA,33
"RUA FERREIRA CÉSAR, 480 - EDIFÍCIO DO FÓRUM",28350000,RUA FERREIRA CÉSAR,RUA,87
"RUA CEL. MANOEL HONORATO, 93",62940000,RUA CEL. MANOEL HONORATO,RUA,17
"RUA ALFREDO JUSTINO, 1100",79602090,RUA ALFREDO JUSTINO,RUA,75
"RUA ARARITAGUABA, 936/938",2122011,RUA ARARITAGUABA,RUA,78
RUA PREFEITO FRANCISCO LUCAS DE SOUZA RANGEL,58380000,RUA PREFEITO FRANCISCO LUCAS DE SOUZA RANGEL,RUA,8
"PRAÇA MOZART XAVIER LOPES, 91",37720000,PRAÇA MOZART XAVIER LOPES,PRAÇA,25
"RUA MARECHAL FLORIANO PEIXOTO, 656",48601210,RUA MARECHAL FLORIANO PEIXOTO,RUA,62
"RUA JOAO PAROLIN, 55",80220290,RUA JOAO PAROLIN,RUA,78
"RUA AMÉRICO FALCÃO, 251/257",5786010,RUA AMÉRICO FALCÃO,RUA,82
"RUA AMANCINHO PEDREIRA, NÚMERO 13",44330000,RUA AMANCINHO PEDREIRA,RUA,83
"RUA CEL. PATRIOTINO LAGES, 512",64180000,RUA CEL. PATRIOTINO LAGES,RUA,25
"RUA MANDAGUARIS, 106",17600050,RUA MANDAGUARIS,RUA,25
"RUA CELESTINO JOSÉ , 67",39390000,RUA CELESTINO JOSÉ ,RUA,19
"PRAÇA DA MATRIZ, LOTE 06, QUADRA 60",72940000,PRAÇA DA MATRIZ,PRAÇA,9
"RUA ANTONIO CARLOS TACCONI, 39",4810020,RUA ANTONIO CARLOS TACCONI,RUA,88
RUA VISCONDE DE SEPETIBA 987 - 2 ANDAR FUNDOS,24020206,RUA VISCONDE DE SEPETIBA 987 - 2 ANDAR FUNDOS,RUA,3
"RUA RUI BARBOSA, S/N",64825000,RUA RUI BARBOSA,RUA,43
RUA  JOÃO SOUTO N. 764,39400081,RUA  JOÃO SOUTO N. 764,RUA,41
"RUA JOAO CHAGAS, S/N",55125000,RUA JOAO CHAGAS,RUA,33
"RUA NECO NONATO, S/N",59970000,RUA NECO NONATO,RUA,63
"PRAÇA DA BANDEIRA, 70 - FÓRUM PROFESSOR RAIMUNDO BRITO",45260000,PRAÇA DA BANDEIRA,PRAÇA,65
"RUA JOÃO ESCOBAR CARPES, 119 - TÉRREO. CENTRO",97700000,RUA JOÃO ESCOBAR CARPES,RUA,100
"RUA CORONEL RICARDO GREGÓRIO, 232, CENTRO.(EM FRENTE A PRAÇA DA FONTE)",39200000,RUA CORONEL RICARDO GREGÓRIO,RUA,67
"RUA HORÁCIO NEGREIROS, 1.500 - SETOR AEROPORTO",77900000,RUA HORÁCIO NEGREIROS,RUA,47
"RUA OLÍMPIO CATÃO, 499",12308051,RUA OLÍMPIO CATÃO,RUA,41
"RUA FERNÃO DIAS, 145 - CARTORIO ELEITORAL",65289000,RUA FERNÃO DIAS,RUA,74
RUA DR. FRANCISCO RUBENS BRANDÃO,62370000,RUA DR. FRANCISCO RUBENS BRANDÃO,RUA,34
"TRAVESSA FERNANDO GUILHON, S/N.",68650000,TRAVESSA FERNANDO GUILHON,TRAVESSA,83
"RUA REGENTE FEIJÓ, S/N - SALA 314 - PALÁCIO DA JUSTIÇA",13013900,RUA REGENTE FEIJÓ,RUA,80
"RUA GOVERNADOR MAGALHÃES BARATA, 801 - 8H AS 15H",68470000,RUA GOVERNADOR MAGALHÃES BARATA,RUA,7
"RUA PORTO ALEGRE, 330",98975000,RUA PORTO ALEGRE,RUA,35
"RUA DOMINGOS BALZANI, N. 66",9400060,RUA DOMINGOS BALZANI,RUA,19
RUA EUNICE RIBEIRO 372 TÉRREO,58475000,RUA EUNICE RIBEIRO 372 TÉRREO,RUA,34
PRAÇA MANOEL DO CARMO DE JESUS S/N,49530000,PRAÇA MANOEL DO CARMO DE JESUS S/N,PRAÇA,92
"RUA OLÍVIO JACQUES, 849",79290000,RUA OLÍVIO JACQUES,RUA,42
"RUA URUGUAIANA, N. 1.105",79770000,RUA URUGUAIANA,RUA,36
"RUA MATO GROSSO DO SUL, 3881",79570000,RUA MATO GROSSO DO SUL,RUA,37
"RUA SÃO JOSÉ, 283",64290000,RUA SÃO JOSÉ,RUA,7
"RUA CEL. JOAQUIM THEOTÔNIO DE ARAÚJO, 211/219",18800000,RUA CEL. JOAQUIM THEOTÔNIO DE ARAÚJO,RUA,1
"PRAÇA DA MATRIZ, S/N (FÓRUM), 8H AS 13H",68840000,PRAÇA DA MATRIZ,PRAÇA,81
"RUA BARAO DO TRIUNFO, 450",97573634,RUA BARAO DO TRIUNFO,RUA,98
"RUA FRANCISCO DRANKA, 1079",83703115,RUA FRANCISCO DRANKA,RUA,45
"RUA DR. JOSE GONCALVES DE SA, 235",48540000,RUA DR. JOSE GONCALVES DE SA,RUA,38
"RUA DUCA VALADÃO, 648",79580000,RUA DUCA VALADÃO,RUA,58
"RUA FIGUEIREDO CAMARGO, 1133, SALA 305",21870210,RUA FIGUEIREDO CAMARGO,RUA,100
"RUA CARLOS ITAICY DE CASTRO, 16, CENTRO",19300000,RUA CARLOS ITAICY DE CASTRO,RUA,10
"RUA PARANÁ, N 1565",85501025,RUA PARANÁ,RUA,25
